Feature,Background STD,Motion STD,Background Energy,Motion Energy,Correlation
amp_mean,9.908351760105148,29.862777904378138,6714837.331286175,7031738.238829248,0.3815432457523286
amp_std,23.112894778312683,71.46925759038415,12038332.705853501,40275435.0354355,0.37624207092552386
amp_max,24.46366165150526,78.74083208295215,30998989.48975585,48888034.83100978,0.3674644672530976
phase_std,4.444614529833344,13.574980687082393,442503.58801459,1453052.3361502655,0.3783250246324428
i_mean,9.617044751206237,30.27060715199176,739460.7147113581,7225105.818300307,0.372284534990379
q_mean,8.809785712150283,30.673178592463724,630420.5289113858,7418587.761851691,0.35301126343173134
