Feature,Threshold,Activity Ratio,Motion Duration,Peak Count,Mean Peak Height,Score Mean,Score STD
amp_mean,0.35386829423219424,13.09880239520958,35.0,18,0.510910229106642,0.1940149766110845,0.15985331762110971
amp_std,0.24246636225471213,7.82185628742515,20.9,9,0.5477760793700281,0.09732603841426775,0.14514032384044437
amp_max,0.2929421607935505,12.312874251497007,32.9,16,0.456001725412421,0.15282011435896287,0.14012204643458762
phase_std,0.20350368555850043,9.206586826347305,24.6,10,0.47109555382476265,0.0691133342588777,0.13439035129962273
i_mean,0.44322276741959443,15.04491017964072,40.2,25,0.6146676059682513,0.2480510667921046,0.19517170062748984
q_mean,0.559565154989806,17.889221556886227,47.8,28,0.7234969524115781,0.3310249902033756,0.2285401647864304
