Feature,Background STD,Motion STD,Background Energy,Motion Energy,Correlation
amp_mean,0.8095580415748722,2.189970283435726,2496448.915535788,12656.567610353926,0.40440921549752823
amp_std,0.42817424992674646,1.1211587234064944,311300.432895055,3317.2147770507427,0.4117906143335857
amp_max,1.5235926881612512,4.509319638998727,6536808.670740163,53661.49816533935,0.38464342267827384
phase_std,0.07381080241321634,0.15231368024026556,85.86087730256256,61.22520888305735,0.475279869160329
i_mean,5.5411662186474295,13.790329582953538,83076.5946915148,501868.1312987014,0.4242164886726923
q_mean,5.174837944352283,13.722231568087913,71653.73507975729,496968.0764051586,0.391093914699151
