time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
22743;32.82;11.25;51.79;0.604;-31.96;6.71;1
22754;21.16;7.38;34.44;0.140;-8.31;19.24;1
22772;23.03;8.18;37.36;0.155;-3.82;22.45;1
22776;24.14;8.06;37.74;0.112;-20.97;-11.66;1
22779;38.96;23.32;75.71;0.226;35.91;-13.22;1
23253;30.56;10.73;49.19;0.178;10.48;-28.23;1
23265;29.58;10.64;47.80;0.131;-21.84;19.60;1
23269;29.38;10.51;49.20;0.108;-18.44;22.67;1
23289;28.57;10.23;47.20;0.116;22.61;17.17;1
23298;20.68;7.12;33.54;0.089;4.99;-19.99;1
23745;28.87;10.03;46.62;0.102;-22.48;17.88;1
23752;28.39;10.01;46.04;0.101;28.24;-0.70;1
23772;34.11;21.01;67.42;0.148;14.89;30.38;1
23793;21.78;7.88;35.69;0.207;21.17;-2.95;1
24243;30.04;10.34;48.10;0.157;-11.77;-27.27;1
24255;21.24;7.76;36.12;0.148;3.87;20.67;1
24280;32.86;11.58;53.16;0.105;-11.23;30.70;1
24283;28.79;10.12;47.13;0.369;27.03;0.93;1
24747;33.04;11.20;53.00;0.179;-29.01;-14.77;1
24761;29.20;10.41;47.54;0.193;14.51;24.78;1
24779;30.88;10.70;50.16;0.088;2.72;-30.65;1
24791;32.31;11.26;52.95;0.119;4.47;-31.78;1
25270;28.54;10.06;46.10;0.106;-10.47;26.38;1
25282;32.35;11.30;52.35;0.092;-22.57;23.00;1
25286;27.72;9.93;44.60;0.128;17.85;20.93;1
25306;32.72;11.43;52.35;0.093;-28.35;16.05;1
25310;28.63;10.33;46.01;0.091;20.54;19.80;1
25314;34.37;12.00;55.79;0.136;-32.30;10.85;1
25743;21.91;7.41;34.93;0.117;-6.22;-20.86;1
25761;34.67;20.52;66.31;0.094;-13.20;-31.88;1
25767;32.50;11.45;51.89;0.089;13.71;-29.33;1
25794;29.57;10.14;47.54;0.091;-28.57;-7.17;1
26244;29.94;10.17;47.20;0.110;-17.82;-23.84;1
26253;22.44;7.81;35.36;0.301;16.95;-13.28;1
26288;31.59;10.77;49.04;0.139;-20.71;-23.46;1
26744;31.21;11.01;50.25;0.096;-26.33;16.47;1
26756;33.00;11.37;53.16;0.093;7.69;-31.95;1
26778;22.48;7.90;36.12;0.111;-14.44;17.06;1
