Sample,Method,Dataset,Window,Signal,Median,STD,RMS,IQR,Skewness,Kurtosis,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,MotionDuration,FFTEnergy,SpectralCentroid,Bandwidth,SpectralEntropy
moving_average_static_000,moving_average,static,0,amp_mean,0.1860578233004525,0.24286413686270414,0.37032712348516145,0.4268177899444179,0.7192939288490934,-0.7774910020386665,35.10839766753127,6,0.6284082882944645,0.25797209267955673,37.5,96,1932.6951640638379,0.8552867985852527,1.1797146521336017,5.4292929039335975
moving_average_static_000,moving_average,static,0,amp_std,0.271565546729916,0.14909716388192007,0.30158045522582244,0.22285407279935568,-0.24376869294019946,-0.9816903957134206,23.283397369398863,6,0.4435452561042181,0.2890632575697459,51.171875,131,728.4268801833094,0.6663806193299654,0.9575537476090261,5.0915320409709866
moving_average_static_000,moving_average,static,0,amp_max,0.3654053762332343,0.17819441575860995,0.390776000519992,0.23978991415746506,-0.2589508493441925,-0.5732244923334773,39.0927059410946,11,0.4872110526111238,0.1654869752560829,56.640625,145,1040.4668333579489,0.8292029718544135,1.1340901810091508,5.397997817600433
moving_average_static_000,moving_average,static,0,phase_std,0.3197867717056777,0.28564646401907146,0.4762032568658871,0.472188578214887,0.5623099478806647,-0.6551524232553829,58.05300271351758,6,0.6925587359019,0.42460719008298026,46.484375,119,2673.66733008121,0.4020243615708123,0.6565663763962231,4.38148360971259
moving_average_static_000,moving_average,static,0,i_mean,0.23126777844683136,0.22670037080318686,0.3581739222596115,0.24881643802752867,1.1930494022310743,1.162634349313043,32.84187099822955,7,0.5152972666179211,0.29262841787370236,37.109375,95,1684.0469857863654,0.33206094474008685,0.513278109070424,4.119342099199299
moving_average_static_000,moving_average,static,0,q_mean,0.23966925143047196,0.18077128793274858,0.3419020946049508,0.34901444361706435,0.1741565675997956,-1.349464717294239,29.925642827584696,9,0.5172876677395598,0.12832879680314688,45.3125,116,1070.8004996502061,0.42802911893732365,0.7332747073060802,4.350281408188834
moving_average_static_001,moving_average,static,1,amp_mean,0.23031404262670369,0.16847766939341538,0.31805545711833344,0.20279241336532522,0.8907360659102599,-0.3239278001046344,25.89677409350452,5,0.4840932897446306,0.23322726417014789,34.765625,89,930.0950465088273,0.7633200341734991,1.1159697810880556,5.216765441302838
moving_average_static_001,moving_average,static,1,amp_std,0.20403862972738895,0.11653944207989643,0.26088385364186817,0.136448336255872,0.6270973504824433,-0.19498935068833578,17.42345858330411,5,0.3793709353293528,0.21218057049257594,34.765625,89,445.03459376521636,0.6107672592325715,0.8935725244898971,4.9487655439747495
moving_average_static_001,moving_average,static,1,amp_max,0.39512767282561845,0.15691193735133396,0.4106977575163096,0.2595339636440554,-0.17424326208537083,-1.0382019686664123,43.180197895404916,11,0.5231603621873873,0.1500634339489536,53.515625,137,806.7925026383373,0.35947003428045293,0.467288238904157,4.375509075150063
moving_average_static_001,moving_average,static,1,phase_std,0.2764624660073921,0.2868493087721892,0.43431086832773214,0.3840813203092793,0.8379410237001083,-0.2665691815734954,48.2882381689827,5,0.6300253057534398,0.36307704472695845,39.0625,100,2696.1500063679023,0.8783027582293822,1.1854101558742214,5.483390230149793
moving_average_static_001,moving_average,static,1,i_mean,0.185935108725641,0.14245026472771635,0.24988685867115365,0.21772138491254128,0.607989513239572,-0.1072589546533318,15.985521186953504,8,0.3597462012163728,0.16706978479656792,47.265625,121,664.928623204765,0.5114023191405541,0.7966107939328729,4.6889133501868745
moving_average_static_001,moving_average,static,1,q_mean,0.1118642986449511,0.10220816876492832,0.15726333918327984,0.16426582533541553,0.7957524101436656,0.3887207005521738,6.331330009875282,8,0.2039391498519019,0.1166600487751628,46.875,120,342.30968561469825,0.6071366216491649,0.915816192315719,5.03498566460185
moving_average_static_002,moving_average,static,2,amp_mean,0.23937711993411503,0.18009108799301177,0.3537974397766373,0.30360514644943193,0.7399743723639558,-0.9059740619993306,32.04419286848085,4,0.6259597889770397,0.3342745825797253,33.59375,86,1062.7556739500242,0.4785503038922782,0.7800719766117183,4.640749256444645
moving_average_static_002,moving_average,static,2,amp_std,0.21686766986195194,0.20588791676919124,0.33532901416099786,0.1560228124068265,1.579308727828199,2.2789640349901337,28.7860602209758,6,0.42160756330634297,0.2315180834838745,36.328125,93,1389.0267203628819,0.4735977715546685,0.8304213048273867,4.4129004549197335
moving_average_static_002,moving_average,static,2,amp_max,0.27820360572310965,0.18500647022625966,0.348563120649616,0.32507465247501166,0.2117522469859659,-1.190580337685499,31.10303976371168,8,0.4944041993328172,0.1737976285627362,46.484375,119,1121.5592448129112,0.5636743694789226,0.9055621555494637,4.733960293652596
moving_average_static_002,moving_average,static,2,phase_std,0.16223330095274868,0.1843978890509623,0.25996050394010317,0.2305686065866494,1.205653044216388,0.7883334829707112,17.30034268385085,6,0.4064123273692461,0.19188200298913374,39.84375,102,1114.1962161986617,0.4065038944358238,0.6983181233359422,4.299411988870873
moving_average_static_002,moving_average,static,2,i_mean,0.109152421440224,0.10897323279577201,0.17262501259262314,0.16595703666099748,0.6624611946358996,-0.6785387809842676,7.628645112986444,10,0.2541536287053329,0.1224328142647815,39.453125,101,389.12458047355165,0.5300592484894691,0.8216155441225178,4.818982347447113
moving_average_static_002,moving_average,static,2,q_mean,0.10741958201814436,0.09643436993907888,0.1526840506057524,0.18470193309048294,0.3147389065224644,-1.1215050088404266,5.967979343201271,7,0.2172650821885854,0.10177199977184238,46.875,120,304.7270197409889,0.6035671156193464,0.9601962160056289,4.832645830076242
moving_average_static_003,moving_average,static,3,amp_mean,0.1979280030656852,0.16254784477073578,0.2877874943416221,0.1824011155081507,1.05572312994119,0.2887272493736819,21.202340326253868,8,0.3561434060437244,0.08300551871276793,42.1875,108,865.7613622925145,0.9116500957307766,1.226351438304377,5.465331269268432
moving_average_static_003,moving_average,static,3,amp_std,0.2814686652173152,0.216236060604606,0.37213592176858656,0.2336473324251514,0.9027682191934715,0.7184031249627765,35.45219693326223,7,0.48606238445253547,0.26269638671927215,44.140625,113,1532.1593404142523,0.5961721862561397,0.9654948771211492,4.7644220986259
moving_average_static_003,moving_average,static,3,amp_max,0.2433299927587263,0.2560289300488846,0.38069109606484436,0.25346156449394797,1.3852364201940197,1.2514213479227303,37.10098191950145,7,0.5459266501084283,0.25351416580080127,39.453125,101,2147.967084630752,0.4029897810239012,0.6863585820829156,4.37289431276109
