Feature,Variance Reduction (%),STD Reduction (%),Correlation,Energy Preservation (%),Smoothness Gain (%),Runtime (ms),RMSE,MAE
amp_mean,50.44834768578734,29.607065472298526,0.7654800092311321,99.44366868131165,66.64175237259171,0.000200001522898674,2.1352612348280493,1.5725118461186665
amp_std,44.05436789028695,25.203187160338803,0.8081719303235224,98.93201273543404,62.33515635071086,0.000200001522898674,1.067982851071859,0.7760955177563263
amp_max,50.7079416920219,29.791696852880634,0.7584989231274696,99.03945342504949,66.04774439962952,0.000100000761449337,4.618977606187193,3.4724472100922306
phase_std,38.1135112833819,21.332034018529434,0.847313191106045,87.32899864430271,61.05324238853507,0.000100000761449337,0.09392383776702996,0.060543590466952873
i_mean,51.464417155985366,30.332516304939922,0.7502729046672124,48.554374763716815,66.70982116268397,0.000100000761449337,11.912404815924003,9.471741229855645
q_mean,52.142667106480545,30.8210054326319,0.744659722835665,47.867096762563946,66.02221032040141,0.000100000761449337,12.169318463231013,9.66138342933456
