time_s,label,amp_mean,amp_std,amp_max,phase_std,i_mean,q_mean
0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1.1,1,0.0012385166309820043,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,1,0.0023915820277852413,0.0,0.0,0.0,0.0,0.0
1.3,1,0.0030346404156885876,0.0,0.0,0.0,0.0,0.0
1.4,1,0.002885377578206205,0.0,0.0,0.0,0.0,0.0
1.5,1,0.0018171932817854083,0.0,0.0,0.0,0.0,0.0
1.6,1,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,1,0.0,0.0,0.0,0.0,0.0,0.0
1.8,1,0.0,0.0,0.0,0.0,0.0,0.0
1.9,1,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2.1,1,0.0,0.0,0.0,0.0,0.0,0.0
2.2,1,0.0,0.0,0.0,0.0,0.0,0.0
2.3000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
2.4000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.0,0.0,0.0,0.0,0.0,0.0
2.6,1,0.0,0.0,0.0,0.0,0.0,0.0
2.7,1,0.0,0.0,0.0,0.0,0.0,0.0
2.8000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
2.9000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
3.1,1,0.0,0.0,0.0,0.0,0.0,0.0
3.2,1,0.0,0.0,0.0,0.0,0.0,0.0
3.3000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.0,0.0,0.0,0.0,0.0,0.0
3.6,1,0.0,0.0,0.0,0.0,0.0,0.0
3.7,1,0.0,0.0,0.0,0.0,0.0,0.0
3.8,1,0.0,0.0,0.0,0.0,0.0,0.0
3.9,1,0.0,0.0,0.0,0.0,0.0,0.0020660783347145805
4.0,1,0.0,0.0,0.0,0.0,0.0,0.009292663755948663
4.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.016481055633004164
4.2,1,0.0,0.0,0.0,0.0,0.0,0.02283793257775765
4.3,1,0.0,0.0,0.0,0.0,0.0,0.027909348977522612
4.4,1,0.0,0.0,0.0,0.0,0.0,0.03161174549316444
4.5,1,0.0,0.0,0.0,0.0,0.0,0.0341015441259704
4.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.035614288978786664
4.7,1,0.0,0.0,0.0,0.0,0.0,0.036365887436328924
4.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.036523249120398664
4.9,1,0.0,0.0,0.0,0.0,0.0,0.03620988248538726
5.0,1,0.0,0.0,0.0,0.0,0.0,0.03551887032779986
5.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.03452306033546465
5.2,1,0.0,0.0,0.0,0.0,0.0,0.03328144478757507
5.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.03184324227908056
5.4,1,0.0,0.0,0.0,0.0,0.0,0.030250706669391586
5.5,1,0.0,0.0,0.0,0.0,0.0,0.02854159509437631
5.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.02675342233005126
5.7,1,0.0,0.0,0.0,0.0,0.0,0.024933721831078684
5.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.02316069384702878
5.9,1,0.0,0.0,0.0,0.0,0.0,0.02156757375369082
6.0,1,0.0,0.0,0.0,0.0,0.0,0.020338901409389182
6.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.01963865420475013
6.2,1,0.0,0.0,0.0,0.0,0.0,0.01948249966641857
6.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.019652642288140457
6.4,1,0.0,0.0,0.0,0.0,0.0,0.019760552060944018
6.5,1,0.0,0.0,0.0,0.0,0.0,0.019441611528265648
6.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.01853571474576321
6.7,1,0.0,0.0,0.0,0.0,0.0,0.0171195011936944
6.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.015396041353325516
6.9,1,0.0,0.0,0.0,0.0,0.0,0.013557969917166297
7.0,1,0.0,0.0,0.0,0.0,0.0,0.01171759431129029
7.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.009907922999020387
7.2,1,0.0,0.0,0.0,0.0,0.0,0.008114728707824344
7.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.006315403403166259
7.4,1,0.0,0.0,0.0,0.0,0.0,0.004523850552069244
7.5,1,0.0,0.0,0.0,0.0,0.0,0.002841024791702437
7.6,1,0.0,0.0,0.0,0.0,0.0,0.0014946018989295388
7.7,1,0.0,0.0,0.0,0.0,0.0,0.0008288861344640428
7.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0012087148073982128
7.9,1,0.0,0.0,0.0,0.0,0.0,0.0028571630058687354
8.0,1,0.005820863858359813,0.0,0.0,0.0,0.000266628369209555,0.005715919805399127
8.1,1,0.0126065127597092,0.0,0.0,0.0,0.010206322532666522,0.009419854860932308
8.200000000000001,1,0.018100678883737262,0.000410114234351357,0.0,0.0,0.020053223920282404,0.013407503642931832
8.3,1,0.022296767223872742,0.001452570008899698,0.0,0.0,0.02891115791670964,0.017113685656821816
8.4,1,0.02523831305269826,0.0020633880657441616,0.0,0.0,0.03626631025966197,0.02015503034756355
