Feature,Threshold,Activity Ratio,Motion Duration,Peak Count,Mean Peak Height,Score Mean,Score STD
amp_mean,0.5620246899823891,19.190751445086704,66.4,29,0.7164334843018783,0.3390544944073843,0.22297019557500486
amp_std,0.448758753324381,16.965317919075147,58.7,34,0.5694512021208209,0.26461600590480727,0.18414274741957368
amp_max,0.5301499492295634,17.341040462427745,60.0,30,0.6833140096495349,0.3134330181508366,0.21671693107872675
phase_std,0.48270617789884007,16.965317919075147,58.7,25,0.6863374763628876,0.27638796045323405,0.20631821744560605
i_mean,0.45559196496147075,15.578034682080924,53.9,31,0.594424114236406,0.26591258340851226,0.1896793815529585
q_mean,0.47280621868063405,16.676300578034684,57.7,22,0.6950131236662396,0.25641045894157116,0.2163957597390629
