time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
5678;33.13;14.80;64.20;2.657;-29.51;9.48;1
5697;31.46;14.72;65.12;0.428;20.73;20.21;1
5701;31.95;14.99;62.65;0.379;27.62;-11.64;1
5728;28.79;12.76;57.45;0.361;16.06;-21.88;1
5731;32.08;14.44;62.63;0.406;28.70;-8.15;1
5734;23.55;7.03;36.06;0.371;22.10;-1.14;1
5738;31.94;13.95;61.85;0.417;-16.01;24.82;1
10623;30.76;10.43;54.42;0.198;27.90;-11.48;1
10638;36.00;11.82;57.71;0.179;6.56;-34.82;1
10641;31.67;10.20;50.96;2.754;-30.78;-3.91;1
10682;30.67;10.31;48.85;0.230;26.75;-13.31;1
10686;33.98;11.66;54.20;0.202;18.12;27.93;1
14429;37.93;12.18;66.19;0.248;33.56;-15.18;1
14433;30.70;9.98;54.23;0.186;-11.88;27.74;1
14436;34.66;11.24;52.20;0.253;32.56;8.39;1
14454;31.23;10.34;49.16;0.212;0.82;30.54;1
14458;34.92;11.40;57.98;0.244;-26.70;20.95;1
14479;34.38;11.29;53.60;0.193;33.46;-4.26;1
14483;30.13;9.77;46.17;0.225;-8.71;28.03;1
14491;33.59;10.78;53.25;0.171;20.37;-26.06;1
14805;32.93;10.99;53.34;0.200;32.26;0.68;1
14835;35.12;11.45;53.24;0.207;-5.80;33.88;1
14839;31.12;10.09;46.00;0.203;-2.18;30.42;1
14866;34.24;10.94;53.54;0.224;-26.12;-20.79;1
14870;33.52;10.98;54.67;0.433;21.93;21.53;1
14874;32.98;10.79;52.20;0.184;18.17;26.85;1
15258;34.55;10.97;50.99;2.505;-32.66;-7.44;1
15279;32.99;10.78;49.40;0.228;16.51;27.57;1
15283;32.59;9.51;47.17;0.184;-29.15;13.32;1
15310;33.64;10.55;51.35;2.753;-32.80;3.15;1
15314;33.30;11.22;49.37;0.291;13.36;29.14;1
15757;34.14;10.55;49.52;0.180;-22.90;-24.57;1
15770;34.76;10.93;50.54;2.813;-33.54;-4.35;1
15775;34.46;10.68;50.48;0.313;15.90;-28.80;1
15794;30.62;9.89;47.17;0.195;-27.98;11.02;1
15805;33.54;10.70;50.60;0.170;-31.72;9.27;1
15809;34.11;10.83;49.68;0.171;-19.64;-27.29;1
16271;30.08;9.51;43.60;0.217;9.48;-27.78;1
16285;34.55;10.73;50.00;0.255;-10.21;-31.89;1
16288;34.37;10.96;49.16;2.609;-32.75;6.53;1
16320;32.62;10.67;49.98;0.232;30.52;-8.83;1
16323;33.00;10.87;50.57;0.250;29.64;-12.12;1
16326;32.17;10.60;50.29;0.279;29.65;9.07;1
16761;31.34;10.24;50.25;2.930;-30.40;-0.98;1
16783;31.04;10.09;47.41;0.279;-25.14;16.24;1
16787;30.96;9.95;47.51;0.172;-21.93;21.19;1
16810;35.32;11.23;54.12;0.195;29.60;-18.07;1
16813;31.19;10.05;47.30;0.187;28.87;-10.35;1
16941;31.04;10.13;52.24;0.349;28.93;-4.76;1
16951;31.07;10.33;47.68;0.191;30.02;-5.51;1
16955;34.92;11.47;54.08;0.308;-16.13;29.26;1
16988;34.69;11.62;57.01;0.199;30.63;14.77;1
17020;34.02;11.40;56.32;0.240;-5.94;32.57;1
17024;34.60;11.25;54.78;0.169;-30.48;15.29;1
17028;34.03;11.13;55.79;0.248;-10.82;31.24;1
17058;33.30;11.00;52.77;0.166;30.29;12.69;1
17062;34.31;11.10;57.57;0.165;14.76;-30.43;1
17093;30.70;9.96;48.75;0.189;28.44;-10.00;1
17097;34.38;11.13;53.37;0.228;-2.46;-33.44;1
17100;29.70;9.87;49.40;0.219;26.59;-11.59;1
17616;33.35;11.39;58.19;0.231;28.98;14.69;1
17629;30.36;10.17;47.85;0.204;3.48;29.55;1
17633;34.08;11.81;59.24;0.424;14.73;27.69;1
17856;30.38;10.07;46.69;0.186;-20.45;21.75;1
17860;35.16;11.50;57.07;0.228;-10.55;-32.64;1
17991;34.40;11.25;56.08;0.227;-0.72;-33.51;1
18039;35.55;11.61;56.57;2.327;-34.45;5.08;1
18059;35.09;11.43;59.62;0.173;11.45;-32.60;1
18063;35.20;12.06;58.69;1.935;-31.49;11.11;1
18085;31.54;10.13;52.55;0.226;-11.25;-28.64;1
18088;30.55;9.98;49.65;0.171;24.87;-16.97;1
18094;33.26;11.21;53.60;0.254;32.08;3.42;1
18529;34.47;11.06;65.79;0.196;13.83;-30.84;1
18571;34.00;10.84;52.77;0.203;17.99;-28.04;1
18593;34.33;11.16;53.81;0.209;26.09;-21.15;1
18597;35.51;11.55;54.92;0.209;-27.24;-21.62;1
19032;30.61;10.16;46.87;0.188;3.58;29.85;1
19042;30.96;9.96;46.57;0.263;29.12;7.15;1
19045;35.12;11.13;65.76;0.239;-26.91;21.00;1
19070;34.85;11.94;66.64;0.154;30.39;16.21;1
19527;33.01;11.24;53.34;0.199;4.02;-32.11;1
19560;34.06;11.74;54.56;0.185;26.72;20.18;1
19582;33.11;11.42;53.46;0.226;-2.47;32.22;1
19586;32.65;11.68;55.58;0.402;6.48;29.61;1
20027;34.70;12.58;58.41;0.214;-22.03;25.81;1
20039;33.45;12.19;57.20;0.228;-26.26;19.30;1
20062;32.30;12.48;56.85;0.271;24.37;19.49;1
20067;34.01;12.95;60.01;0.248;-6.13;32.46;1
20523;32.11;12.47;59.00;0.386;29.89;0.44;1
20533;33.61;12.53;58.52;0.334;10.53;-30.05;1
20554;32.38;12.84;57.58;0.313;9.60;29.32;1
20558;32.29;12.67;60.21;0.337;-7.41;29.66;1
20562;33.07;12.73;58.82;0.410;-16.90;-25.46;1
21030;32.62;12.41;60.17;1.182;-28.32;-12.40;1
21049;32.34;12.58;58.83;1.643;-26.66;15.05;1
21084;32.64;12.54;58.14;0.313;-19.96;-23.84;1
21540;31.12;11.50;54.92;0.326;23.43;-18.11;1
21563;31.63;11.61;52.43;0.285;17.85;24.64;1
21600;35.20;12.90;60.22;0.371;-22.68;-23.98;1
22040;32.91;13.29;63.15;2.802;-31.12;4.24;1
22058;33.04;13.39;60.90;0.298;-27.72;15.32;1
22079;32.16;13.48;62.29;0.440;0.69;29.42;1
22083;33.66;13.36;65.80;0.337;-27.24;-16.83;1
22521;33.17;14.20;63.29;2.608;-27.65;12.52;1
22544;33.29;14.25;62.65;2.543;-26.94;13.51;1
22548;33.55;14.44;67.98;0.481;-13.81;-26.72;1
22580;29.58;13.88;58.67;0.455;-12.85;23.71;1
22584;21.72;6.98;33.38;0.540;-4.63;18.37;1
23232;30.20;14.28;57.87;0.398;25.18;12.88;1
23245;34.57;15.75;66.48;2.088;-29.98;13.16;1
23269;21.73;6.76;32.56;0.322;3.12;20.54;1
23278;30.24;13.85;58.82;0.331;18.73;21.91;1
23537;34.12;15.54;68.10;0.302;-28.59;-16.04;1
23550;21.48;7.46;34.18;0.382;17.84;9.47;1
23554;21.45;7.13;34.01;0.357;-0.09;20.31;1
23584;29.23;13.90;58.18;0.344;-8.25;26.53;1
24104;32.61;15.74;75.66;0.398;-22.37;20.51;1
24118;33.57;15.21;65.19;0.415;-13.96;27.79;1
24151;29.86;14.75;61.52;0.387;-18.27;-21.22;1
24155;30.72;13.91;60.30;2.792;-28.66;-5.11;1
24598;32.89;15.79;66.04;2.096;-26.91;15.74;1
24610;21.41;7.36;34.01;0.363;20.02;2.76;1
24614;22.49;7.13;34.23;2.583;-21.03;-2.32;1
24642;23.65;11.52;49.04;0.896;-20.68;-8.22;1
25038;31.80;14.48;60.01;0.267;0.75;30.82;1
25048;32.28;14.54;59.62;0.240;29.44;-11.12;1
25078;31.35;14.79;61.06;0.289;18.47;23.97;1
25082;32.21;14.75;61.52;0.266;1.04;-31.23;1
25519;32.11;14.48;61.00;0.260;-6.31;-30.54;1
25533;32.51;14.57;60.21;0.270;-23.71;-20.70;1
25556;35.20;15.96;65.39;0.253;12.44;-31.89;1
25560;31.09;14.33;58.41;0.288;-16.62;25.00;1
26031;36.69;15.47;65.46;0.230;-23.01;-27.47;1
26060;32.12;13.76;61.13;0.209;-5.69;30.94;1
26064;36.51;15.18;66.57;0.234;-29.07;20.56;1
26084;32.61;13.22;60.83;0.309;-23.41;20.66;1
26088;32.05;13.23;58.25;0.267;11.38;28.85;1
26097;35.70;14.67;67.90;0.275;-26.07;-22.58;1
26572;32.49;13.72;57.57;0.183;8.66;30.82;1
26585;34.14;13.93;61.10;0.199;11.15;-31.62;1
26613;28.60;12.15;49.82;0.279;5.40;27.07;1
26617;32.77;13.49;58.05;0.231;20.96;-24.15;1
27032;30.48;13.71;58.18;0.269;24.06;-17.12;1
27049;31.49;13.47;58.14;2.843;-30.39;5.14;1
27071;30.50;13.17;56.29;0.228;28.89;7.26;1
27075;30.89;13.27;58.69;0.212;12.05;27.76;1
27532;33.60;14.89;61.85;0.268;-28.16;-16.36;1
27542;21.77;6.66;33.54;0.275;20.55;4.63;1
27562;30.06;12.98;57.43;2.735;-28.90;4.53;1
27568;29.61;13.30;55.54;0.210;13.59;-25.66;1
