time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
38079;31.80;11.48;48.01;2.651;-31.21;2.30;1
38082;32.29;12.42;48.27;2.475;-31.66;-4.83;1
38541;31.19;12.26;49.48;0.987;-25.73;15.69;1
38553;31.73;12.53;52.20;0.296;-14.05;-26.91;1
38575;31.11;14.40;61.03;0.734;23.37;15.38;1
38579;31.36;15.55;63.89;0.547;12.96;-25.06;1
39033;30.78;18.78;71.45;0.750;21.69;-14.22;1
39051;20.70;10.72;41.79;1.034;12.24;9.89;1
39076;18.95;10.88;37.12;1.017;14.85;0.76;1
39536;17.72;11.28;37.16;1.005;-16.71;5.55;1
39555;27.67;19.21;61.72;1.700;-24.18;12.62;1
39559;17.22;12.23;39.82;1.152;-13.71;9.90;1
39600;32.53;20.61;67.54;0.622;28.20;15.73;1
39603;29.47;18.37;61.98;0.729;6.08;28.62;1
40029;34.75;13.70;61.72;0.720;16.67;28.45;1
40048;32.32;20.88;67.36;0.282;-26.38;-16.23;1
40094;31.24;12.19;54.78;2.719;-29.79;5.33;1
40541;18.89;9.33;35.51;1.062;11.74;7.34;1
40562;29.51;17.92;66.84;2.520;-22.61;11.43;1
40588;28.28;17.22;63.70;0.460;-10.86;-23.77;1
40591;27.64;16.75;60.83;0.718;24.58;8.38;1
41032;31.37;16.56;63.25;1.140;-6.70;21.84;1
41043;32.01;14.82;59.68;1.122;-13.33;22.15;1
41069;32.31;14.21;62.23;0.534;25.88;-15.82;1
41076;30.69;12.80;56.89;0.831;2.28;28.31;1
41538;30.15;16.65;60.46;0.989;-26.30;13.95;1
41567;29.18;16.12;58.01;2.862;-28.72;-2.29;1
41581;19.11;9.45;36.14;0.860;0.55;18.72;1
41600;29.36;13.68;55.15;0.661;17.26;23.12;1
41605;19.98;8.85;36.06;0.281;9.07;-17.53;1
41610;22.36;10.34;41.44;0.810;-1.43;21.78;1
42055;22.24;10.08;41.19;0.421;2.28;-20.92;1
42067;17.40;9.79;33.14;1.264;-1.97;15.86;1
42089;21.05;11.00;37.34;1.591;-20.36;-3.82;1
42097;20.61;12.05;46.04;0.374;12.22;-16.30;1
42542;30.53;12.94;52.61;0.788;11.34;27.24;1
42559;31.73;12.80;53.23;0.818;-6.18;30.34;1
42585;29.55;12.04;49.41;1.005;-18.45;22.18;1
42589;33.73;12.97;54.33;0.216;-12.73;-30.47;1
43036;30.65;14.50;56.86;1.193;-12.82;18.65;1
43048;32.71;15.51;63.98;2.401;-22.48;-4.71;1
43070;32.61;14.87;64.07;0.448;20.06;-23.39;1
43075;33.17;14.77;61.68;0.512;29.26;-13.27;1
43540;32.56;15.51;62.48;0.330;20.76;-24.47;1
43558;30.07;12.77;52.50;0.585;23.84;17.63;1
43562;33.26;13.94;64.66;0.329;15.62;-28.72;1
43584;32.21;13.72;65.07;0.781;0.37;31.39;1
44039;31.09;14.44;56.61;0.603;26.50;14.34;1
44053;33.42;15.84;60.64;0.815;-3.34;32.25;1
44079;31.30;16.42;60.17;0.797;13.38;26.77;1
44530;19.85;8.82;34.23;2.333;-13.33;-7.12;1
44555;67.19;25.36;112.51;0.793;7.50;-47.33;1
44581;19.71;8.37;37.01;2.155;-6.49;-7.20;1
45027;20.89;9.21;41.40;1.007;12.99;3.31;1
45045;20.83;8.17;38.01;2.407;-10.93;9.14;1
45048;23.70;9.10;43.10;2.030;-10.97;-12.46;1
45076;22.10;8.17;36.25;2.611;-16.30;-8.56;1
45426;32.13;15.84;62.43;0.142;-15.52;-27.94;1
45530;19.11;10.16;34.00;0.177;0.05;-19.03;1
45541;18.84;10.85;35.44;0.187;-18.12;-4.63;1
45567;18.73;11.48;35.85;1.838;-16.86;7.53;1
45591;18.82;13.89;47.04;0.537;18.39;0.14;1
46043;22.25;9.30;42.54;0.855;8.08;-12.77;1
46066;30.16;17.74;75.60;2.393;-20.53;-15.90;1
46088;21.67;9.59;40.50;2.464;-18.02;-8.93;1
46113;21.11;8.34;38.47;0.509;16.90;-10.54;1
46116;22.06;8.72;40.05;2.890;-21.19;0.80;1
46564;18.93;12.45;43.29;1.467;-1.08;-17.37;1
46579;18.50;10.87;37.11;0.968;15.60;1.89;1
46610;19.10;11.94;36.40;1.700;-5.39;-16.28;1
46614;18.98;12.18;36.06;2.014;-16.15;-5.48;1
47028;31.32;18.23;60.42;0.900;-13.00;27.47;1
47040;28.30;16.18;54.08;0.570;27.39;0.57;1
47044;29.15;16.30;56.04;0.395;7.45;-27.34;1
47095;30.79;16.63;57.80;0.698;19.05;22.68;1
47540;31.96;13.79;52.39;0.116;-28.47;-14.22;1
47553;29.86;13.10;50.49;1.621;-29.23;-5.39;1
47578;29.17;14.17;51.24;0.986;-9.29;27.42;1
47582;30.46;13.91;52.80;0.108;-24.00;-18.50;1
48036;20.48;9.12;35.61;0.175;-14.07;-14.44;1
48046;31.26;14.66;55.23;0.457;27.99;-13.24;1
48066;32.27;14.58;56.57;0.769;0.54;31.88;1
48069;32.20;14.79;57.14;0.489;31.75;1.77;1
48528;34.23;15.11;58.86;0.145;-9.95;-32.55;1
48545;30.93;14.02;53.54;0.104;-19.52;-23.80;1
48572;28.46;12.85;48.51;0.394;26.22;-10.44;1
49037;30.22;13.29;51.79;0.532;28.67;8.32;1
49058;33.28;14.75;58.31;0.230;-1.62;-32.76;1
49062;20.30;8.74;35.78;0.150;-16.25;-11.79;1
49086;32.76;21.79;68.88;1.152;-30.07;11.08;1
49090;21.55;9.79;38.47;0.456;19.52;-8.15;1
49526;24.33;8.68;39.00;0.591;6.22;-20.01;1
49540;30.40;14.69;61.06;0.697;24.34;-9.23;1
49569;31.69;14.61;60.14;0.526;-11.87;-24.56;1
50041;16.57;13.37;43.28;0.542;9.36;-13.01;1
50056;20.48;13.91;39.82;0.470;-15.97;-11.41;1
50091;29.00;22.70;73.60;2.291;-21.27;11.68;1
50533;18.21;11.60;41.05;1.536;-15.99;5.04;1
50543;20.34;9.83;34.06;0.577;18.15;-4.29;1
50572;31.24;18.32;68.12;0.949;-17.26;23.50;1
50579;20.69;9.43;34.13;0.589;18.86;-3.17;1
51034;32.26;13.38;53.15;1.869;-25.22;15.45;1
51051;31.60;13.60;52.01;2.573;-24.88;9.12;1
51079;30.73;14.01;51.48;0.779;-13.14;-16.87;1
51084;29.19;13.99;50.61;1.176;3.55;18.21;1
51529;21.86;11.93;39.81;2.188;-8.06;-15.54;1
51543;18.86;12.14;44.41;0.857;14.63;-3.40;1
51564;29.03;17.97;65.80;1.106;-14.27;20.39;1
52041;31.59;12.94;50.00;1.017;-11.66;28.66;1
52055;30.31;12.57;53.15;0.501;27.34;-11.09;1
52060;30.82;12.17;53.76;0.679;16.72;24.76;1
52086;30.79;13.79;56.36;2.745;-28.48;-1.83;1
52090;34.71;15.34;64.62;0.397;0.86;-32.40;1
52548;21.50;9.44;35.00;1.417;6.37;1.13;1
52568;29.47;16.64;59.41;1.983;-10.48;2.79;1
52596;31.66;17.46;63.15;1.351;10.47;1.73;1
53034;36.09;14.24;57.98;0.865;-7.06;33.13;1
53066;32.84;12.91;53.71;0.813;-2.41;31.48;1
53191;22.33;7.50;37.11;0.575;1.87;-19.04;1
53195;21.81;7.18;35.51;2.618;-18.12;-3.47;1
53541;33.73;13.79;56.36;0.338;-15.13;-28.04;1
53557;30.03;15.58;65.30;1.001;10.83;20.05;1
53579;19.08;10.09;35.11;1.313;8.04;8.23;1
53591;20.13;11.03;38.33;1.975;-0.93;12.75;1
54039;21.03;6.57;33.14;0.929;1.30;18.94;1
54059;33.64;15.96;67.48;1.028;-13.23;27.47;1
54084;22.30;8.26;34.54;1.096;-14.50;-11.24;1
54088;21.71;8.76;33.54;0.611;-9.29;-15.03;1
54537;29.20;19.18;73.00;1.141;-15.23;18.86;1
54550;18.73;10.04;37.11;0.721;0.98;-15.17;1
54554;18.56;10.36;36.06;0.758;2.17;-14.57;1
54585;18.26;12.88;46.10;0.874;7.98;-11.55;1
55033;31.71;17.35;62.17;0.755;6.83;30.41;1
55051;31.74;17.39;62.07;0.239;-1.49;-31.28;1
55073;22.27;9.84;35.17;0.258;-20.59;-6.99;1
55082;21.30;12.24;42.95;0.276;-1.63;-20.88;1
55541;22.90;8.46;35.36;1.035;-11.83;18.17;1
55561;32.21;15.43;59.84;2.808;-30.67;3.77;1
55585;31.45;15.84;59.91;0.883;11.85;27.54;1
55590;33.25;16.46;62.64;0.446;11.46;-29.13;1
56037;31.46;20.76;64.40;0.458;27.37;-13.85;1
56050;31.47;13.08;51.62;0.970;-25.90;16.84;1
56074;32.99;13.82;54.64;0.216;-17.40;-27.17;1
56532;34.80;22.42;69.20;0.151;-22.21;-26.24;1
56553;32.47;20.72;63.60;0.408;27.17;-16.86;1
56574;30.64;11.66;48.27;0.366;24.85;-17.21;1
56578;33.97;21.37;64.29;0.851;-13.31;30.88;1
56583;38.28;24.69;73.25;0.730;19.64;32.27;1
57036;23.13;9.06;34.71;0.224;-1.39;-22.77;1
57049;21.89;11.52;41.88;0.358;12.52;-17.63;1
57074;18.89;9.37;34.06;0.901;-3.54;18.29;1
57543;29.96;15.78;55.97;0.676;21.71;20.02;1
57576;30.89;17.93;60.21;0.738;4.62;30.33;1
57605;30.56;16.51;63.64;0.643;17.39;24.83;1
58031;30.81;11.78;46.86;0.906;-21.26;22.09;1
58047;32.37;12.22;50.00;0.085;-26.77;-18.03;1
58082;32.23;12.76;53.04;0.756;0.69;32.03;1
58086;32.80;13.18;54.92;0.206;3.46;-32.48;1
58531;30.05;12.55;48.88;0.862;-14.79;25.86;1
58541;32.62;14.54;59.09;1.715;-32.14;-4.43;1
58566;30.88;15.66;57.70;0.268;10.67;-28.72;1
59028;27.11;16.59;59.41;0.948;-14.78;21.71;1
59045;19.16;10.85;33.24;1.222;0.17;-18.59;1
59073;24.89;18.34;60.83;1.178;17.32;15.48;1
59541;30.76;14.10;55.61;0.332;21.75;-21.31;1
59559;31.54;14.20;53.49;0.903;-8.92;30.06;1
59583;30.08;13.32;49.77;1.082;-26.76;13.39;1
59590;28.19;12.21;46.17;0.196;4.53;-27.72;1
60039;20.20;10.28;40.46;0.911;-7.05;17.74;1
60052;30.84;15.77;60.02;0.522;27.20;-12.31;1
60076;30.74;13.49;54.04;0.629;22.20;20.38;1
60532;21.51;7.95;33.38;2.798;-20.73;2.56;1
