time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
8460;20.56;8.34;34.53;0.223;0.77;-20.33;0
8702;20.98;8.37;34.71;0.203;1.07;-20.79;0
8716;35.41;14.40;58.69;0.593;27.89;21.14;0
8734;31.62;13.35;53.94;0.441;31.25;2.41;0
8739;31.38;12.94;52.15;0.702;4.97;30.70;0
9209;30.48;12.38;48.76;0.152;-12.19;-27.66;0
9224;32.98;12.72;51.92;0.395;29.47;-13.85;0
9260;33.49;12.84;52.81;0.943;-29.65;14.87;0
9264;30.14;12.14;47.54;0.132;-14.60;-26.13;0
9702;30.91;11.43;45.61;0.422;29.52;-7.91;0
9719;31.53;12.53;48.30;1.170;-27.78;14.14;0
9756;32.80;12.74;48.92;0.390;23.08;-22.70;0
10211;32.94;12.44;49.65;0.377;32.37;-4.53;0
10223;34.08;12.86;52.15;0.501;33.34;5.11;0
10251;32.95;12.38;49.52;0.915;-22.99;23.22;0
10255;32.72;12.72;49.93;1.068;-27.96;16.47;0
10704;32.04;12.54;49.04;0.921;-11.19;29.72;0
10723;35.14;13.41;54.42;0.500;32.73;11.89;0
10747;35.60;13.82;54.71;0.311;18.90;-29.80;0
11214;31.66;12.89;51.62;0.347;26.99;-15.91;0
11224;31.21;12.45;50.64;1.257;-28.80;10.94;0
11234;31.30;12.88;51.87;0.628;20.98;22.67;0
11259;32.01;13.26;53.81;0.607;23.93;20.70;0
11707;31.92;13.93;57.45;0.351;24.32;-20.07;0
11717;32.03;14.28;57.08;0.810;5.38;31.11;0
11747;30.03;12.95;53.34;0.512;29.47;-1.63;0
11751;34.55;14.62;61.13;0.402;29.80;-16.10;0
12215;31.64;14.28;56.44;0.714;8.92;29.87;0
12231;31.49;14.38;56.82;0.616;-29.38;-9.92;0
12265;29.47;19.36;70.18;0.405;16.53;-23.50;0
12269;29.21;19.32;70.01;1.146;-20.43;19.75;0
12724;30.03;19.15;69.84;0.985;-15.81;24.35;0
12736;30.33;15.52;58.00;0.975;-15.94;25.04;0
12759;29.75;16.94;61.85;0.612;24.05;16.52;0
12764;27.09;15.58;56.52;0.236;-10.78;-24.30;0
12767;30.36;17.42;62.64;2.023;-28.49;-8.96;0
13206;33.76;15.43;61.47;0.806;-6.91;32.63;0
13219;35.40;15.59;63.32;2.769;-34.52;-5.45;0
13238;30.83;14.10;56.14;0.721;7.66;29.36;0
13241;31.73;14.14;58.19;2.794;-30.96;-4.80;0
13715;31.55;19.82;57.38;0.633;19.96;23.92;0
13753;32.39;12.63;50.93;0.973;-17.19;26.78;0
13794;31.96;11.89;51.35;0.242;-6.02;-30.61;0
13797;35.58;13.61;59.03;2.732;-34.62;3.09;0
14210;32.82;13.58;57.14;2.314;-30.18;-10.16;0
14227;32.84;12.66;54.20;0.643;20.77;24.69;0
14271;30.43;12.45;52.09;1.815;-28.76;7.51;0
14274;34.12;13.48;58.05;2.882;-33.28;1.86;0
14701;36.10;22.23;66.37;1.506;-33.94;9.75;0
14714;33.00;12.31;49.03;0.529;32.43;-1.04;0
14739;30.25;12.10;51.16;0.816;4.98;29.24;0
