time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
14212;32.03;10.60;50.54;0.093;28.15;-15.00;0
14215;32.41;10.72;50.70;0.224;-29.48;11.62;0
14236;21.51;7.75;36.01;0.141;1.94;21.22;0
14240;37.04;13.08;60.08;0.116;32.98;16.31;0
14694;35.57;12.72;57.43;0.144;-1.34;35.21;0
14707;36.40;13.19;57.80;0.103;-33.16;14.54;0
14730;36.45;12.93;57.97;0.124;-7.06;-35.48;0
15190;33.37;12.07;53.85;0.183;-10.54;31.12;0
15202;37.03;13.13;59.36;0.153;-25.96;25.84;0
15228;33.73;11.94;55.90;0.149;-26.19;-20.68;0
15689;19.64;7.12;32.57;0.254;19.02;-1.07;0
15698;21.64;8.01;35.74;0.201;-0.40;21.20;0
15717;33.47;11.93;55.57;0.247;-13.11;29.73;0
15721;33.18;12.04;54.45;0.178;-16.26;28.28;0
16192;30.81;12.14;54.41;0.257;2.25;29.77;0
16219;30.11;10.83;50.04;0.140;6.97;28.98;0
16243;31.81;10.88;50.77;0.142;29.53;10.93;0
16259;31.04;10.11;47.42;0.180;14.61;-26.84;0
16690;33.08;11.68;55.22;0.220;30.09;11.90;0
16702;31.68;11.08;50.57;0.165;-16.68;-26.46;0
16741;35.54;12.25;54.71;0.135;31.45;-15.85;0
17199;31.92;17.02;68.36;1.248;-6.86;-29.92;0
17237;34.58;20.74;67.74;0.170;-22.28;25.89;0
17257;35.61;11.86;55.87;0.196;-18.28;-29.80;0
17268;36.26;11.68;55.80;0.168;-24.05;-26.47;0
17693;33.74;11.39;52.89;0.193;16.77;28.64;0
17705;34.58;11.56;52.39;0.164;-1.30;34.12;0
17726;32.45;12.02;55.01;0.230;-18.83;25.45;0
17731;32.47;11.59;53.24;0.166;-13.64;-29.03;0
18195;34.57;11.87;54.08;2.051;-33.81;-5.72;0
18207;31.42;10.62;49.04;0.152;0.67;-31.07;0
18227;34.87;11.58;54.08;2.974;-34.48;-0.22;0
18231;30.91;17.97;55.76;0.165;-11.31;-28.40;0
18698;36.80;12.53;59.46;0.245;32.02;15.94;0
18714;36.91;12.25;59.36;1.187;-34.30;-12.00;0
18738;39.17;12.81;61.85;2.814;-37.91;-6.83;0
18741;31.80;10.48;50.00;0.238;30.82;3.05;0
19196;33.60;10.59;49.09;0.175;-5.28;-32.70;0
19209;33.15;10.33;48.37;1.658;-32.63;4.62;0
19229;32.58;10.62;48.66;0.148;6.75;-31.53;0
19232;31.56;10.70;47.52;0.203;3.72;30.75;0
19235;36.61;12.00;56.44;2.419;-35.71;-6.09;0
19693;32.81;19.79;68.80;0.098;-18.16;27.14;0
19703;33.07;11.37;52.35;0.074;32.76;-3.86;0
19726;34.11;20.00;66.89;0.107;-17.04;-29.37;0
19730;34.41;12.22;56.65;0.066;10.86;32.58;0
20188;32.50;11.62;53.91;0.169;-15.27;28.18;0
20208;32.43;12.15;55.15;0.186;-8.69;-30.14;0
20252;31.62;11.22;51.08;0.121;8.30;-30.27;0
20699;27.36;16.05;58.86;0.253;7.35;25.75;0
20713;19.70;11.05;43.32;0.255;7.28;17.87;0
20738;28.49;16.02;62.63;0.590;-20.07;19.41;0
20742;31.40;16.92;65.86;0.582;-23.34;20.34;0
21187;31.32;13.40;57.25;0.231;17.18;25.40;0
21199;21.66;9.85;41.19;0.278;-0.33;-21.13;0
21229;34.13;12.78;58.83;0.223;29.96;-14.67;0
21232;35.80;12.99;59.00;2.991;-35.29;-1.54;0
21697;29.78;12.29;49.04;0.719;23.27;17.30;0
21707;30.96;12.36;48.38;0.951;-3.90;30.10;0
21726;29.00;10.89;44.28;0.460;28.09;-4.27;0
21740;29.51;14.89;59.23;0.571;27.64;-2.68;0
22187;31.93;13.11;55.79;0.224;-8.48;-30.09;0
22201;29.50;11.83;50.04;0.212;-6.28;-28.30;0
22227;31.28;11.68;49.00;0.448;30.15;-6.03;0
22696;20.35;10.02;33.24;0.513;0.97;-20.11;0
22710;20.09;9.20;32.14;0.608;19.72;-0.77;0
22731;21.23;9.60;34.23;0.891;2.19;20.73;0
22735;33.73;17.69;66.61;0.163;-30.17;-14.26;0
23198;21.64;8.16;32.76;0.534;20.61;4.82;0
23236;26.68;18.54;62.37;0.470;15.57;-20.78;0
23258;30.14;14.80;59.03;0.335;-1.43;-28.87;0
23699;31.06;14.51;58.31;1.055;-24.62;17.56;0
23712;31.79;15.06;60.22;0.353;9.80;-29.14;0
23737;32.36;14.51;58.69;0.204;-10.95;-29.86;0
24193;30.13;12.59;60.21;0.935;-23.01;19.01;0
24206;31.85;12.83;49.93;1.035;-15.67;27.46;0
24229;29.38;11.51;48.37;0.776;-0.98;29.02;0
24233;27.79;11.68;47.17;0.565;27.42;0.37;0
20208;32.43;12.15;55.15;0.186;-8.69;-30.14;0
24686;32.11;12.47;47.51;0.390;25.20;-19.26;0
24702;32.77;12.16;48.84;0.158;-31.09;-9.39;0
24722;31.52;12.32;48.37;0.441;31.08;0.55;0
24727;31.51;12.62;47.51;0.417;24.18;-19.51;0
25188;30.66;12.01;49.16;0.796;-2.93;30.06;0
25199;32.09;12.28;52.47;1.172;-30.86;-7.60;0
25220;31.34;20.34;60.46;0.754;13.41;27.79;0
25224;31.52;12.58;50.92;0.976;-16.12;26.48;0
25691;33.13;13.98;54.33;0.950;-3.12;32.42;0
25701;30.03;12.25;49.24;0.601;27.59;10.46;0
25721;29.74;12.51;50.22;0.659;26.95;11.20;0
25724;31.47;20.15;60.30;2.871;-30.89;-2.84;0
25732;33.44;13.65;56.08;1.025;-23.02;23.38;0
26193;33.59;13.40;55.36;0.676;5.84;32.55;0
26204;31.24;12.19;50.12;1.156;-29.14;9.86;0
26228;35.39;13.98;57.14;0.719;-3.11;34.79;0
26696;32.63;20.62;63.56;0.190;-7.85;-31.25;0
26709;31.94;13.09;51.24;2.793;-31.33;-3.25;0
26729;34.35;14.16;56.46;0.487;32.74;-7.98;0
26733;35.03;13.84;56.86;0.298;17.83;-29.60;0
27187;32.57;12.67;52.24;0.245;7.40;-31.32;0
27203;32.64;13.49;53.00;0.152;-13.12;-29.57;0
27222;22.70;8.98;38.29;0.667;11.79;18.99;0
27226;31.07;13.07;51.42;0.646;28.69;10.68;0
27230;30.92;13.03;51.92;0.662;27.76;12.53;0
27697;31.12;12.21;48.37;0.766;11.85;28.27;0
27712;35.92;13.46;54.49;0.121;-22.58;-27.57;0
27715;32.33;12.10;50.01;2.008;-31.53;-5.58;0
27737;35.58;13.32;54.38;0.314;21.97;-27.45;0
27741;31.75;12.79;49.66;0.338;16.29;-26.81;0
28191;31.27;11.92;48.55;0.165;-23.05;-20.50;0
28204;29.95;11.74;46.32;1.007;-19.61;21.97;0
28227;33.84;12.75;53.01;0.170;-22.36;-24.72;0
28231;32.02;13.06;52.55;0.690;27.17;15.56;0
28696;30.97;11.31;45.12;0.237;-2.24;-30.25;0
28718;30.60;11.62;47.01;0.517;29.57;-5.79;0
28739;29.79;11.16;45.88;0.256;3.85;-28.98;0
28743;33.25;12.72;58.69;0.590;-26.77;-18.57;0
29186;36.12;13.64;53.25;1.278;-33.01;-12.92;0
29198;34.85;13.82;52.55;2.792;-33.87;-4.87;0
29221;33.62;12.66;49.24;0.801;-9.66;31.52;0
29225;33.96;12.77;51.43;0.946;-25.50;21.28;0
29697;29.81;11.94;49.82;0.871;-17.16;23.51;0
29733;30.96;13.21;56.22;0.339;15.35;-26.22;0
