time_ms;amp_mean;amp_std;amp_max;phase_std;i_mean;q_mean;label
17964;36.12;13.48;60.88;0.157;-15.62;-32.08;0
18006;32.88;12.28;56.08;0.172;-5.22;-31.97;0
19011;34.04;12.34;56.72;0.606;-31.83;10.98;0
19048;33.91;12.21;55.57;2.485;-32.08;-8.17;0
19092;22.22;8.10;40.31;0.167;-18.44;-11.81;0
19096;21.90;8.05;37.70;0.150;3.01;-21.43;0
19098;21.95;7.94;38.47;2.695;-21.52;-3.23;0
19126;34.74;12.38;57.72;0.156;-12.59;-31.93;0
19129;34.62;12.36;57.01;1.910;-34.03;4.67;0
19141;34.35;12.10;56.04;0.143;-6.32;-33.41;0
19145;33.18;12.21;55.32;0.197;1.44;32.57;0
19147;33.40;12.15;56.14;0.150;32.77;-4.17;0
19151;30.69;11.44;51.55;0.231;-0.77;29.92;0
19207;36.63;13.43;60.75;0.134;19.14;30.84;0
19227;37.21;13.24;62.18;0.143;-27.19;24.82;0
19391;21.25;7.52;35.51;0.128;2.35;-20.94;0
19393;20.27;7.47;34.06;0.177;19.94;-1.25;0
19681;32.04;11.86;54.23;0.248;12.58;28.51;0
19702;32.07;11.62;53.01;0.142;-13.16;28.91;0
19706;32.32;11.63;53.15;0.191;28.51;-14.07;0
19732;32.23;20.36;65.46;0.198;16.81;26.89;0
19737;33.61;12.57;58.01;0.228;9.13;31.44;0
19741;32.01;11.63;52.20;0.157;5.34;-31.16;0
20121;34.91;12.92;59.08;1.810;-33.93;6.13;0
20150;34.27;12.62;56.46;2.325;-33.11;-7.31;0
20153;33.03;12.47;55.44;0.162;29.86;13.08;0
20174;33.33;12.59;56.59;0.201;-15.61;28.75;0
20178;33.91;12.33;56.22;0.164;-1.45;-33.42;0
20181;33.42;12.45;56.08;0.182;-23.11;23.39;0
20623;35.49;13.29;59.68;0.152;25.99;-23.57;0
20633;32.02;11.93;53.85;0.174;-27.87;14.84;0
20636;32.32;11.80;54.57;0.173;2.71;-31.73;0
20665;31.56;12.06;53.26;0.201;28.61;11.83;0
20669;31.95;12.03;55.54;0.151;25.88;-18.08;0
21142;34.88;12.22;57.98;0.154;-24.16;-24.58;0
21154;32.74;11.87;53.94;0.175;2.35;32.18;0
21157;37.04;13.16;63.07;0.262;14.48;-32.81;0
21181;32.60;11.92;53.74;0.214;28.26;14.85;0
21185;33.40;11.88;54.59;0.222;22.84;-23.32;0
21189;33.23;12.04;55.23;0.167;-15.37;28.94;0
21646;31.79;10.90;50.99;0.165;7.28;-30.52;0
21658;35.02;12.38;56.72;0.128;34.71;-1.29;0
