Fold,Accuracy,Precision,Recall,F1 Score,ROC AUC,Overall Score,Train Samples,Test Samples
1,1.0,1.0,1.0,1.0,1.0,1.0,428,108
2,0.9814814814814815,1.0,0.9682539682539683,0.9838709677419355,0.999647266313933,0.9866507367582636,426,108
3,0.9537037037037037,0.9264705882352942,1.0,0.9618320610687023,0.9985890652557319,0.9681190836526863,426,108
4,1.0,1.0,1.0,1.0,1.0,1.0,426,108
5,0.8867924528301887,0.9310344827586207,0.8709677419354839,0.9,0.9076246334310851,0.8992838621910757,430,106
