Sample,Method,Dataset,Window,Signal,Median,STD,RMS,IQR,Skewness,Kurtosis,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,MotionDuration,FFTEnergy,SpectralCentroid,Bandwidth,SpectralEntropy
butterworth_static_000,butterworth,static,0,amp_mean,0.01424573058301685,0.1124758221686302,0.14369123832022188,0.22607766083376107,0.8036885864881049,-1.0704641095271001,5.285676024319693,4,0.2224801509948739,0.12852637670029077,35.15625,90,414.54170732444663,0.2954915806877975,0.4966530388374727,3.9498554710857245
butterworth_static_000,butterworth,static,0,amp_std,0.0008436011425586999,0.0043934048435413115,0.005812444997536099,0.00773803610237935,0.6469950379992121,-1.1088666336668256,0.0086488363134419,6,0.010493377336414584,0.0045571006712194,42.1875,108,0.6324819551786451,0.7057878504394304,1.0555389402756186,5.108882884751766
butterworth_static_000,butterworth,static,0,amp_max,0.033904964651332,0.1258891869070833,0.15294760100506682,0.10533050511546674,1.7502886176473567,2.0846995288926378,5.988599975220511,4,0.22301966717943106,0.14897837376156217,31.25,80,519.310005334204,0.3481087649080041,0.5739308882662733,4.198317967687547
butterworth_static_000,butterworth,static,0,phase_std,0.0054179589887855505,0.010138063571448981,0.01286986948025668,0.007332587023124875,2.1638455718758633,4.409245581625575,0.04240218635234364,4,0.0157601286496727,0.010274516888991999,26.953125,69,3.3676800675275986,1.0476908497799384,1.272493172755391,5.840054528251832
butterworth_static_000,butterworth,static,0,i_mean,0.04948071960179365,0.02934679557026163,0.0573082575560427,0.03837854043444062,0.6412575839497109,0.38269753904097703,0.8407645143320897,8,0.07710612518846698,0.029679878030707672,50.78125,130,28.220694687825976,0.6385397958833968,1.01426736035843,4.906789444309988
butterworth_static_000,butterworth,static,0,q_mean,0.0930505764136823,0.16949682953249345,0.2249860571317358,0.08810204564415434,1.8114525393982273,2.052145290531863,12.958393831343281,3,0.5293925351091683,0.20300834267654513,19.53125,50,941.3974249463431,0.31099415751618437,0.5211031753885336,4.035560403562332
butterworth_static_001,butterworth,static,1,amp_mean,0.0463084484115261,0.10187222465972626,0.1458999605473056,0.20302544791693353,0.8217053260819175,-0.9476517532967685,5.449420412852566,3,0.266582117692813,0.10689911211941723,31.640625,81,340.0643611468256,0.4010941193371841,0.70623763217744,4.240294846257069
butterworth_static_001,butterworth,static,1,amp_std,0.0034987305422175497,0.1725244719218954,0.17941318137819293,0.008596858288478726,3.7932488213836812,12.773097254514148,8.240406950974554,0,0.0,0.0,7.421875,19,975.2490030952551,1.071070628055092,1.2915498768521008,5.917742074375887
butterworth_static_001,butterworth,static,1,amp_max,0.0857810471445753,0.12924038342372915,0.1946854428004271,0.1742498369323747,1.0742068956075574,-0.043746437057691434,9.703019939429982,4,0.35152187205639995,0.18911455824923257,37.109375,95,547.3055311237373,0.9397697828212042,1.211238911486057,5.6031813326086874
butterworth_static_001,butterworth,static,1,phase_std,0.00654647797378695,0.013921281894709646,0.01896596750437572,0.017271327389173276,1.2055924216777318,-0.019375260743878187,0.09208522838452116,4,0.03135034914845622,0.016832473979825426,30.46875,78,6.350497061784518,0.4202316633310427,0.740176133721601,4.356812070912985
butterworth_static_001,butterworth,static,1,i_mean,0.02741155487157175,0.01795506786202262,0.033937296480859906,0.025952284344538515,0.5098017367653764,-0.3604639622803165,0.29484546366202524,8,0.050317818007015666,0.02009693900882035,46.484375,119,10.563616309627594,0.8525282904138674,1.1419707196580544,5.469067408894184
