Feature;Variance Reduction (%);STD Reduction (%);Correlation;Energy Preservation (%);Smoothness Gain (%);Runtime (ms);RMSE;MAE
amp_mean;40.96608664495236;23.16646997889031;0.819263364684138;99.65955494219119;62.9481809395113;0.000100000761449337;1.6940805745509502;1.1752040629612632
amp_std;46.44259656605964;26.817076148912754;0.7872437317450707;99.22189063648837;64.41885920882532;0.000100000761449337;0.998063236566071;0.6944275760884313
amp_max;47.70775027909345;27.686619688396163;0.7731678611326651;99.37126030191777;65.53562072312714;0.000200001522898674;3.889495679762374;2.75678253487682
phase_std;39.26313984580456;22.06614333026023;0.8323136006959198;85.14119621331234;61.92103119569329;0.000200001522898674;0.2016279360546601;0.13885939730457297
i_mean;49.77964440374109;29.133678241170934;0.7616342527339968;50.22298130271484;66.19043671264693;0.000200001522898674;11.784961524047848;9.097783126730011
q_mean;46.0702276946119;26.5631071562882;0.7851245212462151;53.929934553851886;62.25206531538201;0.000100000761449337;11.212777398514403;8.545622721811826
