Method,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Overall Score
median,logistic,0.9643955276030749,0.9715010141987831,0.9678443420378905,0.9691406057621276,0.98117219300015,0.9708107365204052
median,random_forest,0.9549615653389238,0.9786519607843138,0.9421402969790067,0.9586318168247532,0.990339182919828,0.9649449645693651
median,mlp,0.9514325646401118,0.9564182194616977,0.9615463389656937,0.9584873437861277,0.9755021541580682,0.9606773242023398
median,svm,0.9346610761705101,0.9354577820496474,0.9549923195084485,0.9436167494785916,0.9891509565703114,0.9515757767555018
