time_s,label,amp_mean,amp_std,amp_max,phase_std,i_mean,q_mean
0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1.1,1,0.0,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,1,0.0,0.0,0.0,0.0,0.0,0.0
1.3,1,0.0,0.0,0.0,0.0,0.0,0.0
1.4,1,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,0.0,0.0,0.0,0.0,0.0,0.0
1.6,1,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,1,0.0,0.0,0.0,0.0,0.0,0.0
1.8,1,0.0,0.0,0.0,0.0,0.0,0.0
1.9,1,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2.1,1,0.0,0.0,0.0,0.0,0.0,0.0
2.2,1,0.0,0.0,0.0,0.0,0.0,0.0
2.3000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
2.4000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.0,0.0,0.0,0.0,0.0,0.0
2.6,1,0.0,0.0,0.0,0.0,0.0,0.0
2.7,1,0.0,0.0,0.0,0.0,0.0,0.0
2.8000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
2.9000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
3.1,1,0.0,0.0,0.0,0.0,0.0,0.0
3.2,1,0.0,0.0,0.0,0.0,0.0,0.0
3.3000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.0,0.0,0.0,0.0,0.0,0.0
3.6,1,0.0,0.0,0.0,0.0,0.0,0.0
3.7,1,0.0,0.0,0.0,0.0,0.0,0.0
3.8,1,0.0,0.0,0.0,0.0,0.0,0.0
3.9,1,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1,0.0,0.0,0.0,0.0,0.0,0.0020385343163137944
4.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.009178922667444979
4.2,1,0.0,0.0,0.0,0.0,0.0,0.015029455635386577
4.3,1,0.0,0.0,0.0,0.0,0.0,0.019322923338622906
4.4,1,0.0,0.0,0.0,0.0,0.0,0.022227632418598174
4.5,1,0.0,0.0,0.0,0.0,0.0,0.024073406495469695
4.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.025152916891548856
4.7,1,0.0,0.0,0.0,0.0,0.0,0.02566299595360307
4.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.02572800159384007
4.9,1,0.0,0.0,0.0,0.0,0.0,0.025435295024929964
5.0,1,0.0,0.0,0.0,0.0,0.0,0.024854258110551246
5.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.02404178550776462
5.2,1,0.0,0.0,0.0,0.0,0.0,0.023043405936133073
5.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.021895399577361432
5.4,1,0.0,0.0,0.0,0.0,0.0,0.020629555224785823
5.5,1,0.0,0.0,0.0,0.0,0.0,0.019277934811687516
5.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.017871069828325287
5.7,1,0.0,0.0,0.0,0.0,0.0,0.016428448663045474
5.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.014956805627573372
5.9,1,0.0,0.0,0.0,0.0,0.0,0.013476772246474238
6.0,1,0.0,0.0,0.0,0.0,0.0,0.012063513882120902
6.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.010837931141969173
6.2,1,0.0,0.0,0.0,0.0,0.0,0.009868604291517672
6.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.009061630499656186
6.4,1,0.0,0.0,0.0,0.0,0.0,0.008180707973328935
6.5,1,0.0,0.0,0.0,0.0,0.0,0.007016641594807086
6.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.005541971541623629
6.7,1,0.0,0.0,0.0,0.0,0.0,0.0038973241360283728
6.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0022514855847538917
6.9,1,0.0,0.0,0.0,0.0,0.0,0.0006923440627831025
7.0,1,0.0,0.0,0.0,0.0,0.0,0.0
7.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.0
7.2,1,0.0,0.0,0.0,0.0,0.0,0.0
7.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
7.4,1,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1,0.0,0.0,0.0,0.0,0.0,0.0
7.6,1,0.0,0.0,0.0,0.0,0.0,0.0
7.7,1,0.0,0.0,0.0,0.0,0.0,0.0
7.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
7.9,1,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1,0.0,0.0,0.0,0.0,0.0,0.0
8.1,1,0.0,0.0,0.0,0.0,0.0,0.0014997773198829204
8.200000000000001,1,0.0,0.0,0.0,0.0,0.006980600583565049,0.0051310556081008265
8.3,1,0.0011807838477936874,0.00047211435026478884,0.0,0.0,0.015207567434407054,0.00836593185604758
8.4,1,0.004044222088648381,0.0013450873497636519,0.0,0.0,0.02146588536764903,0.011113614417383406
8.5,1,0.006041510207744444,0.0018152472518080814,0.0,0.0,0.0258560025864436,0.013389265800158295
8.6,1,0.0072225895630243465,0.0020613246779603053,0.0,0.0,0.028958803363717166,0.015283578533806309
