Method,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Overall Score
butterworth,random_forest,0.8067085953878408,0.8348694247379503,0.8910394265232975,0.8465294868481221,0.9128484538161958,0.8583990774626813
butterworth,svm,0.7678546470999301,0.8097301695157715,0.8561699948796722,0.8181733312870925,0.813421827077741,0.8130699939720415
butterworth,logistic,0.7511530398322851,0.7942711323763956,0.8182283666154634,0.7988101089841374,0.7505880101579027,0.7826101315932368
butterworth,mlp,0.7434311670160727,0.8047065243056106,0.7986175115207373,0.7851467074127362,0.7668607477747262,0.7797525316059766
