Fold,Accuracy,Precision,Recall,F1 Score,ROC AUC,Overall Score,Train Samples,Test Samples
1,0.6574074074074074,0.6710526315789473,0.8095238095238095,0.7338129496402878,0.6599647266313933,0.7063523049563691,428,108
2,0.6018518518518519,0.6136363636363636,0.8571428571428571,0.7152317880794702,0.4828924162257495,0.6541510553872585,426,108
3,0.8611111111111112,0.9,0.8571428571428571,0.8780487804878049,0.8606701940035273,0.87139458854906,426,108
4,0.8240740740740741,0.8666666666666667,0.8253968253968254,0.8455284552845529,0.9121693121693121,0.8547670667182862,426,108
5,0.8113207547169812,0.92,0.7419354838709677,0.8214285714285714,0.8372434017595308,0.8263856423552101,430,106
