time_s,label,amp_mean,amp_std,amp_max,phase_std,i_mean,q_mean
0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
0.1,1,0.0,0.0,0.0,0.0,0.0,0.0
0.2,1,0.0,0.0,0.0,0.0,0.0,0.0
0.3,1,0.0,0.0,0.0,0.0,0.0,0.0
0.4,1,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
0.8,1,0.0,0.0,0.0,0.0,0.0,0.0
0.9,1,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,0.0,0.0,0.0,0.0,0.0,0.0
1.1,1,0.0,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,1,0.0,0.0,0.0,0.0,0.0,0.0
1.3,1,0.0,0.0,0.0,0.0,0.0,0.0
1.4,1,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1,0.0,0.0,0.0,0.0,0.0,0.0
1.6,1,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,1,0.0,0.0,0.0,0.0,0.0,0.0
1.8,1,0.0,0.0,0.0,0.0,0.0,0.0
1.9,1,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,0.0,0.0,0.0,0.0,0.0,0.0
2.1,1,0.0,0.0,0.0,0.0,0.0,0.0
2.2,1,0.0,0.0,0.0,0.0,0.0,0.0
2.3000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
2.4000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
2.5,1,0.0,0.0,0.0,0.0,0.0,0.0
2.6,1,0.0,0.0,0.0,0.0,0.0,0.0
2.7,1,0.0,0.0,0.0,0.0,0.0,0.0
2.8000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
2.9000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
3.1,1,0.0,0.0,0.0,0.0,0.0,0.0
3.2,1,0.0,0.0,0.0,0.0,0.0,0.0
3.3000000000000003,1,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,1,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1,0.0,0.0,0.0,0.0,0.0,0.0
3.6,1,0.0,0.0,0.0,0.0,0.0,0.0
3.7,1,0.0,0.0,0.0,0.0,0.0,0.0
3.8,1,0.0,0.0,0.0,0.0,0.0,0.0
3.9,1,0.0,0.0,0.0,0.0,0.0,0.0008720447227525577
4.0,1,0.0,0.0,0.0,0.0,0.0,0.011323729651372075
4.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.02071773486423846
4.2,1,0.0,0.0,0.0,0.0,0.0,0.028103399119540115
4.3,1,0.0,0.0,0.0,0.0,0.0,0.03340032122397452
4.4,1,0.0,0.0,0.0,0.0,0.0,0.0369856376625889
4.5,1,0.0,0.0,0.0,0.0,0.0,0.039295495814448946
4.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.04066341515059608
4.7,1,0.0,0.0,0.0,0.0,0.0,0.041315856504634575
4.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.041408071299825086
4.9,1,0.0,0.0,0.0,0.0,0.0,0.04105353150479068
5.0,1,0.0,0.0,0.0,0.0,0.0,0.04033908815296639
5.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.039334336687743145
5.2,1,0.0,0.0,0.0,0.0,0.0,0.03809672575242612
5.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.03667481736025019
5.4,1,0.0,0.0,0.0,0.0,0.0,0.03511050982331824
5.5,1,0.0,0.0,0.0,0.0,0.0,0.0334406844909197
5.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.03169866275036218
5.7,1,0.0,0.0,0.0,0.0,0.0,0.029916048276446075
5.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.028125132849002015
5.9,1,0.0,0.0,0.0,0.0,0.0,0.02636016544027726
6.0,1,0.0,0.0,0.0,0.0,0.0,0.0246522628873286
6.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.023013474400914648
6.2,1,0.0,0.0,0.0,0.0,0.0,0.021417292447410533
6.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.01979721669206111
6.4,1,0.0,0.0,0.0,0.0,0.0,0.018077451108517342
6.5,1,0.0,0.0,0.0,0.0,0.0,0.016217942300881968
6.6000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.014236999916146091
6.7,1,0.0,0.0,0.0,0.0,0.0,0.012195440835759418
6.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.010160954548128369
6.9,1,0.0,0.0,0.0,0.0,0.0,0.00818096372554224
7.0,1,0.0,0.0,0.0,0.0,0.0,0.006274733495401612
7.1000000000000005,1,0.0,0.0,0.0,0.0,0.0,0.00443756030996957
7.2,1,0.0,0.0,0.0,0.0,0.0,0.0026489491987904015
7.300000000000001,1,0.0,0.0,0.0,0.0,0.0,0.000884935254872883
7.4,1,0.0,0.0,0.0,0.0,0.0,0.0
7.5,1,0.0,0.0,0.0,0.0,0.0,0.0
7.6,1,0.0,0.0,0.0,0.0,0.0,0.0
7.7,1,0.0,0.0,0.0,0.0,0.0,0.0
7.800000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0
7.9,1,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1,0.0020310838382500925,0.0012361116762675218,0.0,0.0,0.0,0.00035861923094769436
8.1,1,0.011412500286700876,0.0037373640326397606,0.0,0.0,0.0,0.004573995835505692
8.200000000000001,1,0.019000828763775634,0.005858609486229205,0.0,0.0,0.007631833794593609,0.009203102267578164
8.3,1,0.02488108301003864,0.0073780640582724625,0.0,0.0,0.01658856378776912,0.013503462831321398
8.4,1,0.02918647195735014,0.008310402440028133,0.0,0.0,0.024182062536315774,0.01698400833190992
8.5,1,0.03214776047421177,0.00881029903852673,0.0,0.0,0.030427879012088908,0.01956491964152188
