Fold,Accuracy,Precision,Recall,F1 Score,ROC AUC,Overall Score,Train Samples,Test Samples
1,0.5238095238095238,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6481481481481481,0.6050875050875051,80,21
2,0.5714285714285714,0.5789473684210527,0.9166666666666666,0.7096774193548387,0.37962962962962965,0.6312699311001518,78,21
3,0.7142857142857143,0.75,0.75,0.75,0.7777777777777777,0.7484126984126984,78,21
4,0.95,0.9230769230769231,1.0,0.96,0.9895833333333334,0.9645320512820513,79,20
5,0.75,1.0,0.5833333333333334,0.7368421052631579,0.8333333333333334,0.780701754385965,81,20
