Sample,Method,Dataset,Window,Signal,Median,STD,RMS,IQR,Skewness,Kurtosis,Energy,PeakCount,PeakHeight,PeakProminence,ActivityRatio,MotionDuration,FFTEnergy,SpectralCentroid,Bandwidth,SpectralEntropy
butterworth_motion_000,butterworth,motion,0,amp_mean,0.0,0.006191852993537401,0.006846750771517039,0.0,1.7767531837891353,1.335694520312944,0.0023438998063634586,1,0.0182108953158117,0.0006243101078164011,20.0,10,0.047891679113954456,1.2578683199808771,1.2681722212312423,3.794262540166641
butterworth_motion_000,butterworth,motion,0,amp_std,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0
butterworth_motion_000,butterworth,motion,0,amp_max,0.0,0.028181149548896202,0.031196441500485693,0.0,1.7973657920268828,1.4660209529131274,0.0486608981146613,0,0.0,0.0,20.0,10,0.9919528025168592,1.29965735458594,1.2872459116200192,3.854640479816578
butterworth_motion_000,butterworth,motion,0,phase_std,0.0,0.006075247629348734,0.006828662793168264,0.0,1.5245255481617046,0.45454626613555904,0.0023315317771400294,0,0.0,0.0,22.0,11,0.04608671719051747,1.2640110719838347,1.2811746481748065,3.7659337585715367
butterworth_motion_000,butterworth,motion,0,i_mean,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0
butterworth_motion_000,butterworth,motion,0,q_mean,0.0,0.01201729685205415,0.013186903685229278,0.0,1.9018467549365767,1.8178691736252022,0.008694721440175676,1,0.0365353573609764,0.00043371401819399663,18.0,9,0.18031940464708213,1.2874961617452376,1.2707387855507857,3.8453398361232938
butterworth_motion_001,butterworth,motion,1,amp_mean,0.0007337514751102499,0.00918942772604468,0.011436472980238189,0.013443823161189423,1.7631522807603994,4.336235128430032,0.006539645711385908,1,0.0182108953158117,0.0182108953158117,40.0,20,0.10507572581992458,1.8188299506577688,1.3753827083580221,4.3495413017141376
butterworth_motion_001,butterworth,motion,1,amp_std,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0
butterworth_motion_001,butterworth,motion,1,amp_max,0.0,0.03388663273089536,0.043094574509836905,0.06289004539285585,0.7019753832703084,-1.2708732166411456,0.09285711760919423,1,0.0853791193537177,0.0853791193537177,38.0,19,1.435376033085724,0.5306183305894129,0.6688823866680478,2.277378240330896
butterworth_motion_001,butterworth,motion,1,phase_std,0.0,0.00783780887563014,0.01051749251054045,0.01619605369657955,0.32008739490497473,-1.7924693061983348,0.005530882435463723,1,0.0175830925197484,0.0175830925197484,44.0,22,0.07678543858716251,0.7090722712879349,0.8456472085685283,2.7841748922891694
butterworth_motion_001,butterworth,motion,1,i_mean,0.0,0.0,0.0,0.0,,,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.0
butterworth_motion_001,butterworth,motion,1,q_mean,0.00831103881674595,0.013829831584675269,0.018852282264687367,0.026564747349527098,0.5177044577379547,-1.3417258109872985,0.01777042732937229,1,0.0365353573609764,0.0365353573609764,42.0,21,0.2390790830604975,0.6073960480064782,0.7635707593088324,2.5601378826248524
butterworth_motion_002,butterworth,motion,2,amp_mean,0.059628580137398204,0.06713206969223927,0.09941719027470336,0.14207899952646194,0.04736181923437237,-1.9045868989650527,0.4941888861058287,1,0.1492129591406328,0.02893137775094129,48.0,24,5.632276781288724,1.0219011011394818,1.2176887477210747,3.0662604762118315
butterworth_motion_002,butterworth,motion,2,amp_std,0.0020139608570319,0.014799086769067146,0.020272912310106472,0.030786448711315723,0.22026273192280915,-1.8674396110315845,0.02054954867666333,1,0.0323725088785204,0.002174598669378497,46.0,23,0.2736486218728739,1.139180763362288,1.2573924497463405,3.4861033882667
butterworth_motion_002,butterworth,motion,2,amp_max,0.006028672967396899,0.02550300834830277,0.0303885349540271,0.013954999406513425,1.6361599203282662,1.2371683563239708,0.04617315283260634,0,0.0,0.0,22.0,11,0.8122740744644888,1.2926729740164684,1.2957021907313901,3.836514737353754
butterworth_motion_002,butterworth,motion,2,phase_std,0.01748275743570915,0.30485552070775773,0.39384247137804995,0.6526266250117249,0.5787481429146852,-1.5638566498609943,7.755594613058506,0,0.0,0.0,38.0,19,116.11354881166433,1.1787280088576588,1.287487408659099,3.551399577655357
butterworth_motion_002,butterworth,motion,2,i_mean,0.0,0.011332370281477204,0.013929306743949653,0.020678769439471598,0.7873383033677531,-1.238884661834479,0.009701279318352064,1,0.0281015253747495,0.008161031085257502,34.0,17,0.16049035519654442,1.049384731470377,1.2309751708016106,3.3105504771174856
butterworth_motion_002,butterworth,motion,2,q_mean,0.017526479662902647,0.015600112429301807,0.024320260464082505,0.0308751806005765,0.25647875260293734,-1.2656800292425026,0.02957375345204073,0,0.0,0.0,48.0,24,0.30419779236057026,0.7092764478741712,1.0179704297476364,2.426120175073894
butterworth_motion_003,butterworth,motion,3,amp_mean,0.0950247023546164,0.037557889891346265,0.11077299962475315,0.08113271330970478,0.09251450010318925,-1.8335905747523902,0.613532872293278,1,0.1492129591406328,0.07596736062903799,48.0,24,1.7631974058344422,0.710684790708412,0.9067488548484048,2.6095440524859916
butterworth_motion_003,butterworth,motion,3,amp_std,0.01626992509678355,0.01426330648984756,0.021102536772838156,0.030786448711315723,0.0016228864746828582,-1.8457214447201995,0.022265852912449334,1,0.0323725088785204,0.0283445871644566,50.0,25,0.2543022549532286,0.46680839440169297,0.5655125642789397,1.8148760098253838
butterworth_motion_003,butterworth,motion,3,amp_max,0.00045742001145295,0.005242644579117265,0.006916984195655826,0.00885275866629885,0.5957448644957852,-1.2477426227793487,0.002392233518147624,2,0.01042968698553935,0.007147430017979,44.0,22,0.034356259249381814,0.6545297927059549,0.778512035672898,2.7231890174938767
butterworth_motion_003,butterworth,motion,3,phase_std,0.4170541227483604,0.2902169196271263,0.47215185267575976,0.6283678190916956,-0.08623937775613916,-1.8068894894945544,11.146368599257617,1,0.6962842670986613,0.6850710869332319,52.0,26,105.28231061096218,0.3728228775299684,0.35524145320414635,1.5607099261078556
butterworth_motion_003,butterworth,motion,3,i_mean,0.027193630168664447,0.010839191067940707,0.025581784795495884,0.010606481127918049,-1.2590229436050835,0.2448737145984783,0.032721385666153215,3,0.031233929277304267,0.004514305019567801,66.0,33,0.14672869939602687,1.2486111648604643,1.2680766051841754,3.77962726928124
butterworth_motion_003,butterworth,motion,3,q_mean,0.04145762625356465,0.016697269502740714,0.03733696575521473,0.021102227324299547,-1.092428069384661,-0.3606709174851166,0.06970245059030387,2,0.047477496476030195,0.006280418475709697,68.0,34,0.3482121799610562,1.2688998854873694,1.3045289338781525,3.7605790472936103
butterworth_motion_004,butterworth,motion,4,amp_mean,0.0752083638836679,0.13919323637880912,0.21232711402804724,0.22682478387053057,0.9934813663189384,-0.8521040573043086,2.254140167573969,0,0.0,0.0,30.0,15,24.206774741894765,1.1481026908869605,1.2601821719440331,3.563518848628435
