Feature,Variance Reduction (%),STD Reduction (%),Correlation,Energy Preservation (%),Smoothness Gain (%),Runtime (ms),RMSE,MAE
amp_mean,61.28888262664276,37.78174112580999,0.7016968713517379,57.965486000210035,74.06811973404916,0.000400003045797348,29.027131746754687,13.329836857332733
amp_std,64.49904071765397,40.41731855451112,0.6677006376425768,41.353264718506,75.3525935825786,0.000200001522898674,74.58975766414287,23.071504868128425
amp_max,63.76554749614674,39.804939983539136,0.6810064547393836,50.459548435891534,74.56048302769719,0.000200001522898674,79.4995400143579,40.236002722513206
phase_std,61.424046592979195,37.89045692727985,0.6971695590588506,44.574501480370834,74.05256107693589,0.00010011717677116394,13.264173178605388,4.661375024154836
i_mean,59.294938386049424,36.19948149587609,0.7293026082871553,40.75143462403706,72.66577792894773,0.00010011717677116394,27.398273224511136,10.92257038357372
q_mean,61.80231196171015,38.195721799951535,0.703427819312119,38.2912581866422,73.98731886198604,0.000200001522898674,29.364263426447796,11.018146968810663
